,value,metric,type
618,2.055176575738707,kde,full
619,-0.16307542626823504,kde,full
620,-0.8562914818267577,kde,full
621,1.6959138098578763,kde,full
622,1.9551570968033456,kde,full
623,2.718982371619943,kde,full
624,2.163130569564545,kde,full
625,2.2711022395500393,kde,full
626,3.017869312740907,kde,full
627,3.8711769518104275,kde,full
628,1.7690190363936666,kde,full
629,5.683780439083943,kde,full
630,1.496400083398254,kde,full
631,2.61732163639839,kde,full
632,2.704813011194095,kde,full
633,2.030493537664851,kde,full
634,2.8322509502464035,kde,full
635,1.2560547014593446,kde,full
636,6.88297607195248,kde,full
637,-0.9518246326722815,kde,full
638,1.83522617608316,kde,full
639,-0.5822286370131703,kde,full
640,-0.8152698138903862,kde,full
641,1.661543333620374,kde,full
642,1.7566697100639672,kde,full
643,2.775039290804955,kde,full
644,1.7173919724990778,kde,full
645,2.413020695136835,kde,full
646,3.1507079887670493,kde,full
647,3.6053364706166753,kde,full
648,1.6432221328093335,kde,full
649,5.933022664257475,kde,full
650,1.5904679336742977,kde,full
651,2.6357246465725934,kde,full
652,2.689500276863977,kde,full
653,1.9680407645184599,kde,full
654,2.774029836005605,kde,full
655,1.1823668862647252,kde,full
656,8.97489986252817,kde,full
657,-1.1360341201267397,kde,full
658,2.186624868120105,kde,full
659,-0.6617846315217217,kde,full
660,-0.6722746323243125,kde,full
661,1.717665767015306,kde,full
662,1.9501436113368484,kde,full
663,2.856200125610468,kde,full
664,1.141584280475274,kde,full
665,2.5619001754718695,kde,full
666,3.1637533732961582,kde,full
667,3.213132202467275,kde,full
668,1.4623619045327332,kde,full
669,6.108339004232522,kde,full
670,1.7706386698039682,kde,full
671,2.7845302158102547,kde,full
672,2.6672319492263075,kde,full
673,2.3370745874691328,kde,full
674,2.7740509489360865,kde,full
675,1.065022153559189,kde,full
676,18.202343484936677,kde,full
677,-0.9676382903496895,kde,full
678,2.3936779433906956,kde,full
679,0.03371924170899965,kde,full
680,-1.1384439955045031,kde,full
681,2.0780851653145094,kde,full
682,1.8089633947724952,kde,full
683,2.686041263414363,kde,full
684,1.4121351943190494,kde,full
685,2.4155851719859425,kde,full
686,3.1367439320495296,kde,full
687,3.1099833007256685,kde,full
688,1.5601266471797177,kde,full
689,6.8414836103935315,kde,full
690,1.5908560085332768,kde,full
691,2.692566466091574,kde,full
692,3.174986819251656,kde,full
693,2.6486663618483863,kde,full
694,3.0065292707870332,kde,full
695,1.2621454251993653,kde,full
696,2.189617263696438,kde,full
697,-0.863292591554789,kde,full
698,2.3957634850996663,kde,full
699,-0.9856886912457403,kde,full
700,-0.7838216406537992,kde,full
701,1.5098243871031403,kde,full
702,2.0383797012554745,kde,full
703,2.9668860176867624,kde,full
704,1.0236614753008884,kde,full
705,2.9007994748646633,kde,full
706,3.1998020872660087,kde,full
707,2.924052061276945,kde,full
708,1.0764901127558493,kde,full
709,6.078306757305284,kde,full
710,2.589724639782188,kde,full
711,2.9838413928995586,kde,full
712,2.182183817525392,kde,full
713,2.32317308987667,kde,full
714,2.8163006165697073,kde,full
715,1.4074478812313653,kde,full
716,2.3243147171646554,kde,full
717,-0.7162115685612325,kde,full
718,2.6521513640650323,kde,full
719,-0.856501331371934,kde,full
720,-0.9874524011175592,kde,full
721,1.537731553235096,kde,full
722,2.011449701936919,kde,full
723,3.0678900982632498,kde,full
724,0.7968387196312294,kde,full
725,2.953121985859645,kde,full
726,3.0535751934068727,kde,full
727,2.8926410607794955,kde,full
728,1.001578231712986,kde,full
729,5.662640204952102,kde,full
730,2.989690080729638,kde,full
731,2.944410198284578,kde,full
732,2.4355491473456765,kde,full
733,2.235646394390013,kde,full
734,2.8162141749213188,kde,full
735,0.9642225861337361,kde,full
736,2.2331328699987556,kde,full
737,-0.5840975675749072,kde,full
738,2.2948544232727723,kde,full
739,-0.7210963302075782,kde,full
740,-1.1862542589140617,kde,full
741,1.5528845751240876,kde,full
742,1.993144982814996,kde,full
743,2.8195919411912636,kde,full
744,0.9280621315579962,kde,full
745,2.8713751468503106,kde,full
746,2.8430366750537206,kde,full
747,2.736488533690346,kde,full
748,1.0041346552698125,kde,full
749,5.179921813777883,kde,full
750,1.5872688914071964,kde,full
751,2.550683409000855,kde,full
752,3.0376139969501565,kde,full
753,2.0867100191450425,kde,full
754,3.02007869603231,kde,full
755,1.450734186452069,kde,full
756,3.4040074014367763,kde,full
757,-0.7211052944500573,kde,full
758,2.174614013765338,kde,full
759,-0.8348440769663867,kde,full
760,-1.1158643993669934,kde,full
761,1.813095425623759,kde,full
762,1.9379370063882275,kde,full
763,2.544631256479316,kde,full
764,1.2741150729041932,kde,full
765,2.5128880910198963,kde,full
766,2.6661821523719875,kde,full
767,2.620945344213258,kde,full
768,1.605369199153003,kde,full
769,5.494082652268327,kde,full
770,1.5093312615927048,kde,full
771,2.6015466243959495,kde,full
772,5.258808736628231,kde,full
773,2.105501638583304,kde,full
774,2.7048423587133823,kde,full
775,3.8958869713631654,kde,full
776,4.6225160660382665,kde,full
777,3.585178583147724,kde,full
778,-0.19367051366597163,kde,full
779,-0.15544903214357522,kde,full
780,-0.37338675673685773,kde,full
781,-0.3869656338648682,kde,full
782,0.6164269136620962,kde,full
783,1.649002270761671,kde,full
784,2.6367200645475544,kde,full
785,-0.33152200366143414,kde,full
786,2.5230199772586057,kde,full
787,2.6839336398170865,kde,full
788,2.8659585970447847,kde,full
789,2.436991915519735,kde,full
790,-0.697295129702572,kde,full
791,-0.5600790139936798,kde,full
792,-0.4061146516164703,kde,full
793,-0.7189598945072739,kde,full
794,0.5129316128924157,kde,full
795,1.1601411682502178,kde,full
796,2.3251675262883174,kde,full
797,-0.5596127975608725,kde,full
798,2.476104279271512,kde,full
799,2.4879850720867682,kde,full
800,2.7473105870996246,kde,full
801,2.2046290820070222,kde,full
802,-0.7221489304278343,kde,full
803,-0.9805777718329226,kde,full
804,-0.5599251744726051,kde,full
